Sector,Description,2008,2007,Ministry Code
Public Administration Sector,Ministry of Interior,42695000,39532000,13
Public Administration Sector,Ministry of State for Cabinet Affairs ( Legal Affairs ),49000,45000,15
Public Administration Sector,Ministry of Foreign Affairs,1570000,1454000,16
Public Administration Sector,Ministry of Justice,5643000,5039000,18
Public Administration Sector,Central Informatics Organization,467000,432000,73
Public Administration Sector,Ministry of Islamic Affairs,13000,12000,77
Public Administration Sector,Survey & Land Registration Bureau,5000000,4630000,78
Social Services Sector,Ministry of Information,7300000,6677000,20
Social Services Sector,Ministry of Education,145000,253000,21
Social Services Sector,Ministry of Health,8035000,7868000,22
Social Services Sector,Ministry of Labour,21614000,20013000,24
Social Services Sector,Ministry of Social Development,6000,6000,29
Economic Services Sector,Ministry of Industry & Commerce,5098000,4743000,34-56
Economic Services Sector,National Oil & Gas Authority,1245106000,1238875000,51
Economic Services Sector,Ministry of Finance,136287000,133872000,81
Economic Services Sector,Central Stores Directorate,457000,423000,82
Infrastructure Sector,Ministry of Works & Housing,217000,217000,46
Infrastructure Sector,Ministry of Electricity & Water,87048000,84207000,47
Infrastructure Sector,Ministry of Transportation,6686000,6190000,48
Infrastructure Sector,Civil Aviation Affairs,19674000,18323000,52
Infrastructure Sector,"Customs,Ports & Free Zones Affairs",94276000,87293000,83
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture (Agriculture Affairs),300000,298000,23
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture (Municipalities Affairs),2000,2000,25
Miscellaneous Budget,"Public Commission For the Protection of Marine Resources, Environment & Wildlife",212000,196000,41
,Total,1687900000,1660600000,
